阿公店,A kong tiàm
萬芳醫院,Bān hong Pēnn īnn
萬芳醫院,Bān hong Pīnn īnn
萬芳社區,Bān hong Siā khu
萬華,Bān huâ
萬華區,Bān huâ khu
萬和宮,Bān hô kiong
萬隆,Bān liông
萬里溪,Bān lí khe
萬里區,Bān lí khu
萬里橋,Bān lí kiô
萬丹鄉,Bān tan hiong
萬榮,Bān îng
萬榮鄉,Bān îng hiong
望古,Bāng kóo
網鞍,Bāng uann
望安鄉,Bāng uann hiong
面冊,Bīn tsheh
孟,Bīng
慕容,Bōo iông
茂林區,Bōo lîm khu
霧峰區,Bū hong khu
霧臺鄉,Bū tâi hiong
岳,Ga̍k
嶽,Ga̍k
樂,Ga̍k
月眉,Ge̍h bâi
玉,Gio̍k
玉皇大帝,Gio̍k hông tāi tè
玉里,Gio̍k lí
玉里鎮,Gio̍k lí tìn
玉山,Gio̍k san
玉山,Gio̍k suann
玉井區,Gio̍k tsénn khu
嚴,Giâm
閻,Giâm
閻君,Giâm kun
閻羅王,Giâm lô ông
閻王,Giâm ông
月美,Gua̍t bí
月津港,Gua̍t tin káng
月眉,Gue̍h bâi
玩石家博石館,Guán si̍k ka Phok si̍k kuán
元,Guân
原,Guân
元宵,Guân siau
元掌,Guân tsióng
元長鄉,Guân tsióng hiong
源泉,Guân tsuânn
外埔區,Guā poo khu
外澳,Guā ò
魏,Guī
顏,Gân
倪,Gê
衙門口,Gê mn̂g kháu
宜蘭,Gî lân
宜蘭河,Gî lân hô
宜蘭縣,Gî lân kuān
宜蘭市,Gî lân tshī
梧棲區,Gôo tshe khu
牛,Gû
虞,Gû
牛罵頭,Gû mâ thâu
牛郎,Gû nn̂g
義民廟,Gī bîn biō
義竹鄉,Gī tik hiong
五月節,Gōo ge̍h tsueh
五月節,Gōo gue̍h tseh
五日節,Gōo ji̍t tseh
五結鄉,Gōo kiat hiong
五間厝,Gōo king tshù
五股坑,Gōo kóo khenn
五股坑,Gōo kóo khinn
五股區,Gōo kóo khu
五城堡,Gōo siânn pó
五叉水路,Gōo tshe tsuí lōo
五塊厝,Gōo tè tshù
五堵,Gōo tóo
蕃薯寮,Han tsî liâu
蕃薯寮,Han tsû liâu
學甲區,Ha̍k kah khu
合興,Ha̍p hing
興化廍,Hing huà phōo
香山,Hiong san
香山區,Hiong san khu
向天湖山,Hiòng thian ôo suann
郝,Hok
霍,Hok
福興鄉,Hok hing hiong
福佑宮,Hok iū kiong
福隆,Hok liông
封,Hong
豐,Hong
酆,Hong
風,Hong
豐原,Hong guân
豐原區,Hong guân khu
豐富,Hong hù
風櫃,Hong kuī
豐濱鄉,Hong pin hiong
豐坪溪,Hong pênn khe
芳苑鄉,Hong uán hiong
伏,Ho̍k
服,Ho̍k
復興區,Ho̍k hing khu
復興崗,Ho̍k hing kong
花,Hua
花蓮,Hua liân
花蓮溪,Hua liân khe
花蓮縣,Hua liân kuān
花蓮港,Hua liân káng
花蓮市,Hua liân tshī
番路鄉,Huan lōo hiong
番仔路,Huan á lōo
番仔田,Huan á tshân
番仔莊,Huan á tsng
番仔挖,Huan á uat
法文,Huat bûn
花壇,Hue tuânn
花壇鄉,Hue tuânn hiong
薰園,Hun hn̂g
芬園鄉,Hun hn̂g hiong
華,Huà
華文,Huâ bûn
華語,Huâ gí
華語,Huâ gú
華府,Huâ hú
華人,Huâ jîn
華僑,Huâ kiâu
華人,Huâ lîn
懷忠祠,Huâi tiong sī
橫山,Huâinn suann
橫山鄉,Huâinn suann hiong
樊,Huân
火炎山,Hué iām suann
火燒島,Hué sio tó
火山巖,Hué suann giâm
回教,Huê kàu
洄瀾,Huê liân
和尚洲,Huê siūnn tsiu
費,Huì
宦,Huān
范,Huān
范姜,Huān Kiong
梵文,Huān bûn
惠濟宮,Huī tsè kiong
佛,Hu̍t
佛學,Hu̍t ha̍k
佛法,Hu̍t huat
佛光緣臺北美術館,Hu̍t kong iân Tâi pak Bí su̍t kuán
佛光山,Hu̍t kong san
佛教,Hu̍t kàu
佛典,Hu̍t tián
漢人,Hàn jîn
漢人,Hàn lîn
漢本,Hàn pún
哈馬星,Há má sing
海,Hái
海協會,Hái hia̍p huē
海洋生物館,Hái iûnn Sing bu̍t kuán
海口,Hái kháu
海基會,Hái ki huē
海關博物館,Hái kuan Phok bu̍t kuán
海墘營,Hái kînn iânn
海龍王,Hái lîng ông
海山,Hái san
海線,Hái suànn
海端,Hái tuan
海端鄉,Hái tuan hiong
韓,Hân
韓戰,Hân tsiàn
杭,Hâng
侯,Hâu
屏遮那,Hè sen ná
奚,Hê
回教,Hê kàu
魚,Hî
魚池鄉,Hî tî hiong
熊,Hîm
行天宮,Hîng thian kiong
恆春鎮,Hîng tshun tìn
虎,Hóo
虎尾鎮,Hóo bué tìn
虎姑婆,Hóo koo pô
虎頭山,Hóo thâu suann
何,Hô
和美鎮,Hô bí tìn
和仁,Hô jîn
和平,Hô pîng
和平溪,Hô pîng khe
和平區,Hô pîng khu
皇,Hông
紅,Hông
逢,Hông
鴻禧美術館,Hông hi Bí su̍t kuán
皇甫,Hông hú
狐,Hôo
葫蘆墩,Hôo lôo tun
富源,Hù guân
富源溪,Hù guân khe
富岡,Hù kong
富貴角,Hù kuì kak
富里,Hù lí
富里鄉,Hù lí hiong
府城,Hú siânn
府中,Hú tiong
輔大,Hú tāi
符,Hû
苻,Hû
雲林縣,Hûn lîm kuān
下元,Hā guân
夏侯,Hā hôo
旱溪,Hān khe
項,Hāng
夏,Hē
賀,Hō
鳳甲文化館,Hōng kah Bûn huà kuán
鳳林,Hōng lîm
鳳林鎮,Hōng lîm tìn
鳳山,Hōng suann
鳳山國中,Hōng suann Kok tiong
鳳山溪,Hōng suann khe
鳳山區,Hōng suann khu
鳳山西站,Hōng suann sai tsām
奉天宮,Hōng thian kiong
戶,Hōo
扈,Hōo
滬尾,Hōo bué
滬尾,Hōo bé
燕,Ian
葉,Ia̍p
應,Ing
英文,Ing bûn
英語,Ing gí
英語,Ing gú
鶯歌,Ing ko
鶯歌區,Ing ko khu
鶯歌石,Ing ko tsio̍h
英商,Ing siong
育樂園,Io̍k lo̍k hn̂g
燕巢區,Iàn tsâu khu
耶穌,Iâ soo
耶誕,Iâ tàn
鹽埔鄉,Iâm poo hiong
鹽埕區,Iâm tiânn khu
鹽埕埔,Iâm tiânn poo
延平鄉,Iân pîng hiong
姚,Iâu
養樂多,Ióng lo̍k to
有應公,Iú ìng kong
尤,Iû
游,Iû
油羅溪,Iû lô khe
油廠國小,Iû tshiúnn Kok sió
郵政博物館,Iû tsìng Phok bu̍t kuán
楊,Iûnn
羊,Iûnn
陽,Iûnn
楊英風美術館,Iûnn Ing hong Bí su̍t kuán
陽明山,Iûnn bîng suann
楊梅,Iûnn muî
楊梅區,Iûnn muî khu
楊梅壢,Iûnn muî li̍k
右,Iū
饒,Jiâu
日文,Ji̍t bûn
日月潭,Ji̍t gua̍t thâm
日語,Ji̍t gí
日劇,Ji̍t kio̍k
日南,Ji̍t lâm
日式,Ji̍t sik
日商,Ji̍t siong
日產,Ji̍t sán
俞,Jî
任,Jîm
人,Jîn
仁武區,Jîn bú khu
仁和宮,Jîn hô kiong
人事局,Jîn sū kio̍k
仁德區,Jîn tik khu
仁愛鄉,Jîn ài hiong
仁愛區,Jîn ài khu
庾,Jú
俞,Jû
儒家,Jû ka
如來,Jû lâi
如來佛祖,Jû lâi pu̍t tsóo
二萬坪,Jī bān pênn
二仁溪,Jī jîn khe
二二八公園,Jī jī pat Kong hn̂g
二結,Jī kiat
二九暝,Jī káu mê
二林鎮,Jī lîm tìn
二崙鄉,Jī lūn hiong
二崙仔,Jī lūn á
二八水,Jī pat tsuí
二竹圍,Jī tik uî
二水,Jī tsuí
二水鄉,Jī tsuí hiong
嘉義,Ka gī
嘉義縣,Ka gī kuān
嘉義市,Ka gī tshī
家扶中心,Ka hû Tiong sim
交力坪,Ka li̍k pênn
加祿,Ka lo̍k
傀儡關,Ka lé kuan
佳里區,Ka lí khu
茄拔,Ka pua̍t
佳冬,Ka tang
佳冬鄉,Ka tang hiong
茄苳跤,Ka tang kha
茄苳萣仔,Ka tang tiānn á
茄萣區,Ka tiānn khu
加走灣,Ka tsáu uan
甲仙區,Kah sian khu
角板山,Kak pán suann
甘,Kam
關渡,Kan tāu
關渡宮,Kan tāu king
江,Kang
工研院,Kang gián īnn
江南,Kang lâm
蛤仔難,Kap á lān
葛,Kat
噶瑪蘭,Kat má lán
基隆,Ke lâng
雞籠,Ke lâng
基隆河,Ke lâng hô
基隆港,Ke lâng káng
基隆山,Ke lâng suann
基隆市,Ke lâng tshī
凱達格蘭文化館,Ke ta ga lán Bûn huà kuán
開元寺,Khai guân sī
開化寺,Khai huà sī
溪口,Khe kháu
溪口鄉,Khe kháu hiong
溪頭,Khe thâu
溪州,Khe tsiu
溪州鄉,Khe tsiu hiong
溪湖鎮,Khe ôo tìn
客語,Kheh gí
客語,Kheh gú
客人,Kheh lâng
客話,Kheh uē
姜,Khiong
康,Khng
科學博物館,Kho ha̍k Phok bu̍t kuán
科技大樓,Kho ki Tuā lâu
匡,Khong
康樂,Khong lo̍k
丘,Khu
邱,Khu
闕,Khuat
溪頭,Khue thâu
昆陽,Khun iông
嵌頭屋,Khàm thâu ok
崁頂,Khàm tíng
崁頂鄉,Khàm tíng hiong
崁仔跤,Khàm á kha
凱旋,Khái suân
口湖鄉,Kháu ôo hiong
慶安宮,Khìng an kiong
寇,Khòo
孔,Khóng
孔子廟,Khóng tsú biō
孔子公,Khóng tsú kong
許,Khóo
槓仔寮,Không á liâu
瞿,Khû
姬,Ki
技擊館,Ki kik kuán
唭哩岸,Ki lí gān
基督,Ki tok
基督教,Ki tok kàu
吉,Kiat
吉安,Kiat an
吉安鄉,Kiat an hiong
吉野,Kiat iá
金,Kim
金峰鄉,Kim hong hiong
金崙,Kim lun
金寧鄉,Kim lîng hiong
金崙,Kim lūn
金門縣,Kim mn̂g kuān
金包里,Kim pau lí
金山區,Kim san khu
金城鎮,Kim siânn tìn
金沙鎮,Kim sua tìn
金星,Kim tshenn
金星,Kim tshinn
金湖鎮,Kim ôo tìn
芎林鄉,Kiong nâ hiong
急水溪,Kip tsuí khe
羌仔寮,Kiunn á liâu
劍南路,Kiàm lâm lōo
劍潭,Kiàm thâm
鹹埔,Kiâm poo
鹹菜甕,Kiâm tshài àng
鹽水溪,Kiâm tsuí khe
鹽水區,Kiâm tsuí khu
喬,Kiâu
橋頭,Kiô thâu
橋頭火車站,Kiô thâu Hué tshia tsām
橋頭糖廠,Kiô thâu Thn̂g tshiúnn
橋頭區,Kiô thâu khu
橋仔頭,Kiô á thâu
九如鄉,Kiú jû hiong
九曲堂,Kiú khiok tông
九芎林,Kiú kiong nâ
仇,Kiû
崎頂,Kiā tíng
戈,Ko
高,Ko
高雄,Ko hiông
高雄國際機場,Ko hiông Kok tsè Ki tiûnn
高雄車站,Ko hiông Tshia tsām
高雄港,Ko hiông káng
高雄市,Ko hiông tshī
高屏溪,Ko pîn khe
高樹鄉,Ko tshiū hiong
高樹跤,Ko tshiū kha
國,Kok
谷,Kok
國安會,Kok an huē
國安局,Kok an kio̍k
國發會,Kok huat huē
國府,Kok hú
國父,Kok hū
國父紀念館,Kok hū Kì liām kuán
國父史蹟紀念館,Kok hū Sú tsik Kì liām kuán
國科會,Kok kho huē
國軍歷史文物館,Kok kun Li̍k sú Bûn bu̍t kuán
國立臺灣藝術教育館,Kok li̍p Tâi uân Gē su̍t Kàu io̍k kuán
國立臺灣科學教育院,Kok li̍p Tâi uân Kho ha̍k Kàu io̍k īnn
國立臺灣博物館,Kok li̍p Tâi uân Phok bu̍t kuán
國稅局,Kok suè kio̍k
國稅局,Kok sè kio̍k
國姓鄉,Kok sìng hiong
國姓埔,Kok sìng poo
公賣局,Kong buē kio̍k
公賣局,Kong bē kio̍k
光復,Kong ho̍k
光復鄉,Kong ho̍k hiong
光復溪,Kong ho̍k khe
公羊,Kong iông
公館,Kong kuán
公館鄉,Kong kuán hiong
公埔,Kong poo
岡山,Kong san
岡山區,Kong san khu
公孫,Kong sun
辜,Koo
龜崙社,Ku lun siā
龜山,Ku suann
龜山區,Ku suann khu
龜山島山,Ku suann tó suann
柯,Kua
關,Kuan
關廟區,Kuan biō khu
觀音,Kuan im
觀音區,Kuan im khu
觀音山,Kuan im suann
觀音寺,Kuan im sī
關山,Kuan san
關山鎮,Kuan san tìn
關西鎮,Kuan se tìn
關帝廟,Kuan tè biō
關帝廟街,Kuan tè biō ke
關帝爺,Kuan tè iâ
關仔嶺,Kuan á niá
官佃,Kuann tiān
官田溪,Kuann tiān khe
官田區,Kuann tiān khu
雞籠,Kue lâng
郭,Kueh
郭元益糕餅博物館,Kueh Guân ik Ko piánn Phok bu̍t kuán
歸仁區,Kui jîn khu
歸來,Kui lâi
季,Kuì
桂,Kuì
教宗,Kàu tsong
教廷,Kàu tîng
𥴊仔賴,Kám á luā
簡,Kán
澗仔壢,Kán á li̍k
港墘,Káng kînn
江子翠,Káng á tshuì
港仔喙,Káng á tshuì
九,Káu
九份二山,Káu hūn jī suann
九讚頭,Káu tsàn thâu
九塊厝,Káu tè tshù
猴齊天,Kâu Tsê thian
猴樹港,Kâu tshiū káng
侯硐,Kâu tōng
計,Kè
唭哩岸,Kì lí gān
靳,Kìn
紀,Kí
莒光鄉,Kí kong hiong
耿,Kíng
龔,Kíng
景安,Kíng an
景美,Kíng bué
梘尾,Kíng bué
景美,Kíng bé
梘尾,Kíng bé
景美溪,Kíng bé khe
景美,Kíng bí
景福宮,Kíng hok kiong
警廣,Kíng kóng
景山溪,Kíng suann khe
旗尾山,Kî bué suann
奇美,Kî bí
奇武卒,Kî bú tsut
奇岩,Kî giâm
奇萊主山北峰,Kî lâi tsú suann pak hong
旗山溪,Kî san khe
旗山區,Kî san khu
旗津區,Kî tin khu
旗後,Kî āu
貢寮,Kòng liâu
貢寮區,Kòng liâu khu
顧,Kòo
故宮,Kòo kiong
故宮博物院,Kòo kiong Phok bu̍t īnn
果,Kó
廣福宮,Kóng hok kiong
古,Kóo
古坑鄉,Kóo khenn hiong
鼓山區,Kóo san khu
古莊,Kóo tsng
古亭,Kóo tîng
巨蛋,Kī tàn
巨蛋,Kū tàn
拉丁,La ting
凹子底,Lap á té
六甲區,La̍k kah khu
六腳鄉,La̍k kha hiong
六跤佃莊,La̍k kha tiān tsng
六根莊,La̍k kin tsng
六龜區,La̍k ku khu
六龜里社,La̍k ku lí siā
六張犁,La̍k tiunn lê
六塊厝,La̍k tè tshù
聶,Lia̍p
烈嶼鄉,Lia̍t sū hiong
陸,Lio̍k
陸委會,Lio̍k uí huē
年,Liân
連,Liân
連江縣,Liân kang kuān
聯招會,Liân tsiau huē
饒,Liâu
瀧溪,Liông khe
龍崎區,Liông kiā khu
龍山寺,Liông san sī
龍潭區,Liông thâm khu
隆田,Liông tiân
龍井,Liông tsínn
龍井區,Liông tsínn khu
柳,Liú
柳營,Liú iânn
柳營區,Liú iânn khu
琉球鄉,Liû khiû hiong
琉園水晶博物館,Liû uân Tsuí tsinn Phok bu̍t kuán
練,Liān
廖,Liāu
歷史博物館,Li̍k sú Phok bu̍t kuán
綠島鄉,Li̍k tó hiong
立法院,Li̍p huat īnn
日文,Li̍t bûn
日月潭,Li̍t gua̍t thâm
日語,Li̍t gú
日劇,Li̍t kio̍k
日式,Li̍t sik
日商,Li̍t siong
日產,Li̍t sán
駱,Lo̍h
鹿,Lo̍k
鹿野,Lo̍k iá
鹿野鄉,Lo̍k iá hiong
鹿野溪,Lo̍k iá khe
鹿谷鄉,Lo̍k kok hiong
鹿港鎮,Lo̍k káng tìn
鹿寮,Lo̍k liâu
鹿寮溪,Lo̍k liâu khe
樂樂溪,Lo̍k lo̍k khe
鹿麻產,Lo̍k muâ sán
鹿草鄉,Lo̍k tsháu hiong
鹿仔港,Lo̍k á káng
鹿仔草庄,Lo̍k á tsháu tsng
暖暖,Luán luán
暖暖區,Luán luán khu
雷,Luî
賴,Luā
湳仔,Làm á
拉拉山,Lá lá san
來義鄉,Lâi gī hiong
來社,Lâi siā
南,Lâm
南亞,Lâm a
南化區,Lâm huà khu
南迴鐵路,Lâm huê thih lōo
南海,Lâm hái
南河,Lâm hô
南瑤宮,Lâm iâu kiong
南洋,Lâm iûnn
南仁山,Lâm jîn suann
南竿鄉,Lâm kan hiong
南區,Lâm khu
南京復興,Lâm kiann Ho̍k hing
南宮,Lâm kiong
南岡山,Lâm kong san
南港,Lâm káng
南港軟體園區,Lâm káng Nńg thé Hn̂g khu
南港展覽館,Lâm káng Tián lám kuán
南港區,Lâm káng khu
南平,Lâm pîng
楠西區,Lâm se khu
南沙,Lâm sua
南勢,Lâm sì
南勢角,Lâm sì kak
南州,Lâm tsiu
南州鄉,Lâm tsiu hiong
南莊,Lâm tsng
南庄鄉,Lâm tsng hiong
楠梓,Lâm tsú
楠梓加工區,Lâm tsú Ka kang khu
楠梓區,Lâm tsú khu
南靖,Lâm tsīng
南投縣,Lâm tâu kuān
南投市,Lâm tâu tshī
南屯區,Lâm tūn khu
楠仔坑,Lâm á khenn
南澳,Lâm ò
南澳鄉,Lâm ò hiong
南胡大山,Lâm ôo tuā suann
蘭陽溪,Lân iâng khe
蘭嶼鄉,Lân sū hiong
劉,Lâu
樓,Lâu
黎,Lê
梨園寮,Lê hn̂g liâu
螺陽,Lê iâng
犁頭店,Lê thâu tiàm
李,Lí
李石樵美術館,Lí Tsio̍h tsiâu Bí su̍t kuán
鯉魚尾,Lí hî bué
鯉魚尾,Lí hî bé
里港鄉,Lí káng hiong
冷,Líng
林,Lîm
林安泰古厝民俗文物館,Lîm An thài Kóo tshù Bîn sio̍k Bûn bu̍t kuán
林語堂紀念館,Lîm Gú tông Kì liām kuán
林務局,Lîm bū kio̍k
林園區,Lîm hn̂g khu
林鳳營,Lîm hōng iânn
林杞埔,Lîm kí poo
人,Lîn
麟光,Lîn kong
麟洛,Lîn lo̍k
麟洛鄉,Lîn lo̍k hiong
玲珞社,Lîn lo̍k siā
人事局,Lîn sū kio̍k
凌,Lîng
龍,Lîng
龍目井,Lîng ba̍k tsínn
令狐,Lîng hôo
龍港,Lîng káng
苓雅區,Lîng ngá khu
靈潭陂,Lîng thâm pi
龍泉,Lîng tsuânn
魯,Lóo
羅,Lô
羅漢內門,Lô hàn lāi mn̂g
濁口溪,Lô kháu khe
勞里散,Lô lí sán
羅馬字,Lô má jī
羅馬字,Lô má lī
羅東,Lô tong
羅東溪,Lô tong khe
羅東鎮,Lô tong tìn
濁水,Lô tsuí
濁水溪,Lô tsuí khe
勞委會,Lô uí huē
瑯嶠,Lông kiau
婁,Lôo
盧,Lôo
廬山,Lôo san
螺絲港,Lôo si káng
蘆竹區,Lôo tik khu
蘆竹厝,Lôo tik tshù
蘆洲,Lôo tsiu
蘆洲區,Lôo tsiu khu
庾,Lú
俞,Lû
儒家,Lû ka
如來,Lû lâi
如來佛祖,Lû lâi pu̍t tsóo
內壢,Lāi li̍k
內門區,Lāi mn̂g khu
內埔,Lāi poo
內埔鄉,Lāi poo hiong
內獅,Lāi sai
內灣,Lāi uan
內灣線,Lāi uan suànn
內湖,Lāi ôo
內湖區,Lāi ôo khu
荖濃溪,Lāu lông khe
老田寮溪,Lāu tshân liâu khe
厲,Lē
呂,Lī
呂洞賓,Lī Tōng pin
二九暝,Lī káu mî
任,Līm
藺,Līn
路,Lōo
路竹,Lōo tik
路竹區,Lōo tik khu
鷺洲,Lōo tsiu
老懂,Lōo tóng
呂,Lū
呂洞賓,Lū Tōng pin
崙背鄉,Lūn puè hiong
麻園寮,Muâ hn̂g liâu
麻荖漏,Muâ láu lāu
麻豆區,Muâ tāu khu
梅仔坑,Muê á khenn
梅,Muî
梅山鄉,Muî san hiong
馬,Má
瑪家鄉,Má ka hiong
媽宮,Má king
馬公市,Má king tshī
馬里勿,Má lí bu̍t
瑪鋉,Má sok
媽祖,Má tsóo
媽祖廟,Má tsóo biō
媽祖宮,Má tsóo king
媽祖婆,Má tsóo pô
媽祖田,Má tsóo tshân
馬大安,Má tāi an
馬太鞍溪,Má tāi an khe
彌陀區,Mî tô khu
毛,Môo
摩西,Môo se
伍,Ngóo
五福宮,Ngóo hok kiong
五峰鄉,Ngóo hong hiong
五指山,Ngóo tsí suann
吳,Ngôo
峨眉鄉,Ngôo bî hiong
嶺腳,Niá kha
梁,Niû
藍,Nâ
林口區,Nâ kháu khu
林內,Nâ lāi
林內鄉,Nâ lāi hiong
林邊,Nâ pinn
林邊鄉,Nâ pinn hiong
林投姊仔,Nâ tâu tsí á
林仔邊,Nâ á pinn
黃,N̂g
汪,Ong
區,Oo
烏,Oo
鄔,Oo
烏日,Oo ji̍t
烏日區,Oo ji̍t khu
烏溪,Oo khe
烏坵鄉,Oo khiu hiong
阿彌陀佛,Oo mí tôo hu̍t
巴,Pa
吧哩嘓,Pa lí kok
巴陵,Pa lîng
巴壟衛,Pa lóng ué
北歐,Pak au
北美,Pak bí
北美洲,Pak bí tsiu
北合歡山,Pak ha̍p huan suann
北二高,Pak jī ko
北竿鄉,Pak kan hiong
北區,Pak khu
北京,Pak kiann
北極殿,Pak ki̍k tiān
北港溪,Pak káng khe
北港鎮,Pak káng tìn
北門,Pak mn̂g
北門區,Pak mn̂g khu
北門嶼,Pak mn̂g sū
北埔,Pak poo
北埔鄉,Pak poo hiong
北半球,Pak puànn kiû
北勢溪,Pak sì khe
北插天山,Pak tshah thian suann
北斗鎮,Pak táu tìn
北投,Pak tâu
北投溫泉博物館,Pak tâu Un tsuânn Phok bu̍t kuán
北投區,Pak tâu khu
北屯區,Pak tūn khu
板橋,Pang kiô
板橋區,Pang kiô khu
枋橋頭,Pang kiô thâu
枋寮,Pang liâu
枋寮鄉,Pang liâu hiong
崩山,Pang suann
枋山,Pang suann
枋山鄉,Pang suann hiong
八卦山,Pat kuà suann
八里坌,Pat lí hun
八里區,Pat lí khu
八通關大山,Pat thong kuan tuā suann
八德區,Pat tik khu
八芝蘭,Pat tsi lân
八掌溪,Pat tsiáng khe
包,Pau
八塊厝,Peh tè tshù
八堵,Peh tóo
白,Pe̍h
白河區,Pe̍h hô khu
白沙鄉,Pe̍h sua hiong
白沙屯,Pe̍h sua tun
白話字,Pe̍h uē jī
白話字,Pe̍h uē lī
碧霞宮,Phik hâ kiong
朴子溪,Phoh tsú khe
朴子市,Phoh tsú tshī
朴仔跤,Phoh á kha
璞石閣,Phok si̍k koh
潘,Phuann
盤古,Phuân kóo
皮,Phuê
皮,Phê
彭,Phênn
彭,Phînn
澎湖縣,Phînn ôo kuān
卑南,Pi lâm
卑南鄉,Pi lâm hiong
卑南溪,Pi lâm khe
卑南主山,Pi lâm tsú suann
埤頭鄉,Pi thâu hiong
畢,Pit
白宮,Pi̍k kiong
方,Png
褒忠鄉,Po tiong hiong
褒忠亭,Po tiong tîng
卜,Poh
埔鹽鄉,Poo iâm hiong
埔姜崙,Poo kiunn lun
埔姜頭,Poo kiunn thâu
埔里鎮,Poo lí tìn
埔心,Poo sim
埔心鄉,Poo sim hiong
薄,Po̍k
半路竹,Puànn lōo tik
半路店,Puànn lōo tiàm
半屏山,Puànn pîng suann
半線,Puànn suànn
貝,Puè
裴,Puê
佛,Pu̍t
佛祖,Pu̍t tsóo
房,Pâng
馮,Pâng
龐,Pâng
平埔番,Pênn poo huan
屏東,Pîn tong
屏東縣,Pîn tong kuān
屏東線,Pîn tong suànn
屏東市,Pîn tong tshī
平和,Pîng hô
平溪,Pîng khe
平溪線,Pîng khe suànn
平溪區,Pîng khue khu
平鎮區,Pîng tìn khu
坪林尾,Pînn nâ bé
坪林區,Pînn nâ khu
平埔番,Pînn poo huan
平湖,Pînn ôo
傅,Pòo
布袋喙,Pòo tē tshuì
布袋鎮,Pòo tē tìn
保安,Pó an
保安宮,Pó an kiong
寶山鄉,Pó san hiong
保生大帝,Pó sing tāi tè
寶桑莊,Pó song tsng
寶斗,Pó táu
婆姐,Pô tsiá
畚箕港,Pùn ki káng
奮起湖,Pùn ki ôo
笨港,Pùn káng
鮑,Pāu
步,Pōo
部編本,Pōo pian pún
獅甲,Sai kah
西區,Sai khu
西港區,Sai káng khu
西港仔,Sai káng á
西螺鎮,Sai lê tìn
西勢,Sai sì
西嶼鄉,Sai sū hiong
獅潭鄉,Sai thâm hiong
獅頭山,Sai thâu suann
西屯區,Sai tūn khu
獅子鄉,Sai á hiong
三民,Sam bîn
三民高中,Sam bîn Ko tiong
三民區,Sam bîn khu
三義,Sam gī
三義鄉,Sam gī hiong
三和國中,Sam hô Kok tiong
三峽河,Sam kiap hô
三峽區,Sam kiap khu
三國,Sam kok
三界公,Sam kài kong
杉林區,Sam nâ khu
三山國王,Sam san kok ông
三山國王廟,Sam san kok ông biō
三星鄉,Sam sing hiong
三太子,Sam thài tsú
三貂嶺,Sam tiau niá
三重國小,Sam tiông Kok sió
三重區,Sam tiông khu
三多商圈,Sam to Siong khuan
三叉河,Sam tshe hô
三芝區,Sam tsi khu
三地門鄉,Sam tē mn̂g hiong
